"code","model","name","cost","cost_ewew","warranty"
49551,"NVH-1400VB","Автоаудіосистема Pioneer NVH-1400VB",143.2,140.3,12
80766,"CDX-GT470UE","Автоаудіосистема Sony CDX-GT470UE",86.75,85.05,12
80767,"CDX-GT470UM","Автоаудіосистема Sony CDX-GT470UM",86.75,85.05,12
80769,"CDX-GT475ER","Автоаудіосистема Sony CDX-GT475ER",90.65,88.85,12
80770,"CDX-GT475UR","Автоаудіосистема Sony CDX-GT475UR",90.65,88.85,12
55227,"CDX-GT550UI","Автоаудіосистема Sony CDX-GT550UI",130.2,127.6,12
84342,"CDX-GT560US","Автоаудіосистема Sony CDX-GT560US",106.7,104.6,12
84341,"CDX-GT570UE","Автоаудіосистема Sony CDX-GT570UE",110.2,108,12
76478,"CDX-GT570UI","Автоаудіосистема Sony CDX-GT570UI",110.2,108,12
91958,"CDX-GT574UI","Автоаудіосистема Sony CDX-GT574UI",114.7,112.4,12
91959,"CDX-GT575UE","Автоаудіосистема Sony CDX-GT575UE",121.4,119,12
82227,"DSX-A30Е","Автоаудіосистема Sony DSX-A30Е",62.05,60.8,12
55232,"SCD-401U","Автоаудіосистема Supra SCD-401U",58.35,57.2,12
55233,"SCD-402U","Автоаудіосистема Supra SCD-402U",58.35,57.2,12
55234,"SCD-403U","Автоаудіосистема Supra SCD-403U",58.35,57.2,12
55236,"SCD-503U","Автоаудіосистема Supra SCD-503U",62.05,60.8,12
55237,"SCD-505U","Автоаудіосистема Supra SCD-505U",62.05,60.8,12
