INFO  - 2014-02-14 10:35:23.321; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+PHILIPS^400+QS^300+6140\/32^200+д\/бороди^100+model:137565.0^1000&wt=ruby&rows=5} hits=5086 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.335; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ROWENTA^400+TN^300+1050^200+F0^100+model:98600.0^1000&wt=ruby&rows=5} hits=4226 status=0 QTime=8 
INFO  - 2014-02-14 10:35:23.354; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ROWENTA^400+TN^300+1110^200+F0^100+model:104618.0^1000&wt=ruby&rows=5} hits=4202 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.374; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ROWENTA^400+TN^300+1210^200+F0^100+model:129936.0^1000&wt=ruby&rows=5} hits=4241 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.389; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ROWENTA^400+TN^300+5030^200+D0^100+model:116032.0^1000&wt=ruby&rows=5} hits=4196 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.405; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ROWENTA^400+YD^300+3026^200+F0^100+model:116033.0^1000&wt=ruby&rows=5} hits=4115 status=0 QTime=8 
INFO  - 2014-02-14 10:35:23.457; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+SUPRA^400+HCS^300+202^200+black^100+model:136566.0^1000&wt=ruby&rows=5} hits=8203 status=0 QTime=5 
INFO  - 2014-02-14 10:35:23.492; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+SUPRA^400+HCS^300+202^200+blue^100+model:126413.0^1000&wt=ruby&rows=5} hits=5077 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.569; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1350^200+B^100+model:116148.0^1000&wt=ruby&rows=5} hits=9583 status=0 QTime=11 
INFO  - 2014-02-14 10:35:23.584; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1354^200+GD^100+model:121463.0^1000&wt=ruby&rows=5} hits=4827 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.601; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1355^200+W^100+model:122443.0^1000&wt=ruby&rows=5} hits=6508 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.616; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1357^200+VT^100+model:130442.0^1000&wt=ruby&rows=5} hits=4347 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.628; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1359^200+W^100+model:129893.0^1000&wt=ruby&rows=5} hits=6506 status=0 QTime=5 
INFO  - 2014-02-14 10:35:23.638; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1360^200+GY^100+model:124185.0^1000&wt=ruby&rows=5} hits=4397 status=0 QTime=3 
INFO  - 2014-02-14 10:35:23.726; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+1361^200+BK^100+model:106869.0^1000&wt=ruby&rows=5} hits=4805 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.772; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+2376^200+SR^100+model:105950.0^1000&wt=ruby&rows=5} hits=4602 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.784; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+2514^200+GY^100+model:141327.0^1000&wt=ruby&rows=5} hits=4392 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.800; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+VITEK^400+VT^300+2515^200+W^100+model:137650.0^1000&wt=ruby&rows=5} hits=6511 status=0 QTime=8 
INFO  - 2014-02-14 10:35:23.813; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+ZELMER^300+39Z011^200+Graphite^100+model:102125.0^1000&wt=ruby&rows=5} hits=4688 status=0 QTime=4 
